state,year,week,cases_accum
Tamaulipas,2013,10,0.0
Tlaxcala,2013,10,0.0
Veracruz,2013,10,0.0
Yucatán,2013,10,0.0
Zacatecas,2013,10,1.0
Aguascalientes,2013,11,0.0
Baja California,2013,11,142.0
Baja California Sur,2013,11,16.0
Campeche,2013,11,0.0
Coahuila,2013,11,46.0
Colima,2013,11,0.0
Chiapas,2013,11,0.0
Chihuahua,2013,11,2.0
Distrito Federal,2013,11,0.0
Durango,2013,11,0.0
Guanajuato,2013,11,2.0
Guerrero,2013,11,3.0
Hidalgo,2013,11,0.0
Jalisco,2013,11,0.0
México,2013,11,1.0
Michoacán,2013,11,25.0
Morelos,2013,11,3.0
Nayarit,2013,11,0.0
Nuevo León,2013,11,6.0
Oaxaca,2013,11,0.0
Puebla,2013,11,0.0
Querétaro,2013,11,0.0
Quintana Roo,2013,11,0.0
San Luis Potosí,2013,11,0.0
Sinaloa,2013,11,8.0
Sonora,2013,11,21.0
Tabasco,2013,11,0.0
Tamaulipas,2013,11,0.0
Tlaxcala,2013,11,0.0
Veracruz,2013,11,0.0
Yucatán,2013,11,0.0
Zacatecas,2013,11,1.0
Aguascalientes,2013,12,0.0
Baja California,2013,12,160.0
Baja California Sur,2013,12,21.0
Campeche,2013,12,1.0
Coahuila,2013,12,54.0
Colima,2013,12,0.0
Chiapas,2013,12,0.0
Chihuahua,2013,12,2.0
Distrito Federal,2013,12,0.0
Durango,2013,12,0.0
Guanajuato,2013,12,2.0
Guerrero,2013,12,3.0
Hidalgo,2013,12,0.0
Jalisco,2013,12,1.0
México,2013,12,1.0
Michoacán,2013,12,25.0
Morelos,2013,12,3.0
Nayarit,2013,12,0.0
Nuevo León,2013,12,7.0
Oaxaca,2013,12,0.0
Puebla,2013,12,0.0
Querétaro,2013,12,0.0
Quintana Roo,2013,12,0.0
San Luis Potosí,2013,12,0.0
Sinaloa,2013,12,9.0
Sonora,2013,12,23.0
Tabasco,2013,12,0.0
Tamaulipas,2013,12,0.0
Tlaxcala,2013,12,0.0
Veracruz,2013,12,0.0
Yucatán,2013,12,0.0
Zacatecas,2013,12,1.0
Aguascalientes,2013,13,0.0
Baja California,2013,13,184.0
Baja California Sur,2013,13,26.0
Campeche,2013,13,1.0
Coahuila,2013,13,67.0
Colima,2013,13,0.0
Chiapas,2013,13,0.0
Chihuahua,2013,13,2.0
Distrito Federal,2013,13,0.0
Durango,2013,13,0.0
Guanajuato,2013,13,2.0
Guerrero,2013,13,3.0
Hidalgo,2013,13,0.0
Jalisco,2013,13,1.0
México,2013,13,1.0
Michoacán,2013,13,26.0
Morelos,2013,13,3.0
Nayarit,2013,13,0.0
Nuevo León,2013,13,8.0
Oaxaca,2013,13,0.0
Puebla,2013,13,0.0
Querétaro,2013,13,0.0
Quintana Roo,2013,13,0.0
San Luis Potosí,2013,13,0.0
Sinaloa,2013,13,9.0
Sonora,2013,13,24.0
Tabasco,2013,13,0.0
Tamaulipas,2013,13,0.0
Tlaxcala,2013,13,0.0
Veracruz,2013,13,0.0
Yucatán,2013,13,0.0
Zacatecas,2013,13,1.0
Aguascalientes,2013,14,0.0
Baja California,2013,14,192.0
Baja California Sur,2013,14,26.0
Campeche,2013,14,1.0
Coahuila,2013,14,74.0
Colima,2013,14,0.0
Chiapas,2013,14,0.0
Chihuahua,2013,14,2.0
Distrito Federal,2013,14,0.0
Durango,2013,14,0.0
Guanajuato,2013,14,2.0
Guerrero,2013,14,4.0
Hidalgo,2013,14,0.0
Jalisco,2013,14,1.0
México,2013,14,1.0
Michoacán,2013,14,26.0
Morelos,2013,14,3.0
Nayarit,2013,14,0.0
Nuevo León,2013,14,8.0
Oaxaca,2013,14,0.0
Puebla,2013,14,0.0
Querétaro,2013,14,0.0
Quintana Roo,2013,14,0.0
San Luis Potosí,2013,14,0.0
Sinaloa,2013,14,10.0
Sonora,2013,14,24.0
Tabasco,2013,14,0.0
Tamaulipas,2013,14,0.0
Tlaxcala,2013,14,0.0
Veracruz,2013,14,0.0
Yucatán,2013,14,0.0
Zacatecas,2013,14,1.0
Aguascalientes,2013,15,0.0
Baja California,2013,15,209.0
Baja California Sur,2013,15,27.0
Campeche,2013,15,1.0
Coahuila,2013,15,84.0
Colima,2013,15,0.0
Chiapas,2013,15,0.0
Chihuahua,2013,15,2.0
Distrito Federal,2013,15,0.0
Durango,2013,15,0.0
Guanajuato,2013,15,2.0
Guerrero,2013,15,4.0
Hidalgo,2013,15,0.0
Jalisco,2013,15,1.0
México,2013,15,1.0
Michoacán,2013,15,30.0
Morelos,2013,15,3.0
Nayarit,2013,15,0.0
Nuevo León,2013,15,8.0
Oaxaca,2013,15,0.0
Puebla,2013,15,0.0
Querétaro,2013,15,0.0
Quintana Roo,2013,15,0.0
San Luis Potosí,2013,15,0.0
Sinaloa,2013,15,10.0
Sonora,2013,15,28.0
Tabasco,2013,15,0.0
Tamaulipas,2013,15,0.0
Tlaxcala,2013,15,0.0
Veracruz,2013,15,0.0
Yucatán,2013,15,0.0
Zacatecas,2013,15,1.0
Aguascalientes,2013,16,0.0
Baja California,2013,16,220.0
Baja California Sur,2013,16,29.0
Campeche,2013,16,1.0
Coahuila,2013,16,95.0
Colima,2013,16,0.0
Chiapas,2013,16,0.0
Chihuahua,2013,16,2.0
Distrito Federal,2013,16,0.0
Durango,2013,16,0.0
Guanajuato,2013,16,2.0
Guerrero,2013,16,4.0
Hidalgo,2013,16,0.0
Jalisco,2013,16,1.0
México,2013,16,1.0
Michoacán,2013,16,30.0
Morelos,2013,16,3.0
Nayarit,2013,16,0.0
Nuevo León,2013,16,8.0
Oaxaca,2013,16,0.0
Puebla,2013,16,0.0
Querétaro,2013,16,0.0
Quintana Roo,2013,16,0.0
San Luis Potosí,2013,16,0.0
Sinaloa,2013,16,10.0
Sonora,2013,16,30.0
Tabasco,2013,16,0.0
Tamaulipas,2013,16,0.0
Tlaxcala,2013,16,0.0
Veracruz,2013,16,0.0
Yucatán,2013,16,0.0
Zacatecas,2013,16,1.0
Aguascalientes,2013,17,0.0
Baja California,2013,17,229.0
Baja California Sur,2013,17,30.0
Campeche,2013,17,1.0
Coahuila,2013,17,107.0
Colima,2013,17,0.0
Chiapas,2013,17,0.0
Chihuahua,2013,17,2.0
Distrito Federal,2013,17,0.0
Durango,2013,17,0.0
Guanajuato,2013,17,2.0
Guerrero,2013,17,5.0
Hidalgo,2013,17,0.0
