estado,1,2,3,sem,m_acum,f_acum,acum,semana,year,8,9
Nayarit,0.0,1.0,2.0,1.0,0.0,0.0,0.0,10,2015,0.0,
Nuevo León,0.0,2.0,1.0,0.0,0.0,0.0,1.0,10,2015,6.0,
Oaxaca,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,2015,0.0,
Puebla,0.0,0.0,0.0,6.0,0.0,0.0,0.0,10,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Sinaloa,41.0,51.0,171.0,4.0,0.0,0.0,1.0,10,2015,1.0,
Sonora,1.0,0.0,3.0,5.0,1.0,6.0,6.0,10,2015,1.0,
Tabasco,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Tamaulipas,0.0,0.0,1.0,3.0,0.0,0.0,0.0,10,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
Yucatán,1.0,5.0,4.0,1.0,0.0,0.0,0.0,10,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2015,0.0,
TOTAL,55.0,80.0,211.0,23.0,5.0,7.0,13.0,10,2015,29.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Baja California,1.0,10.0,13.0,1.0,0.0,0.0,3.0,11,2015,13.0,
Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,2.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Coahuila,0.0,1.0,0.0,0.0,1.0,1.0,1.0,11,2015,9.0,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,2015,0.0,
Guerrero,2.0,1.0,4.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Jalisco,2.0,0.0,4.0,0.0,0.0,0.0,0.0,11,2015,0.0,
México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Michoacán,0.0,3.0,4.0,2.0,0.0,0.0,0.0,11,2015,0.0,
Morelos,0.0,5.0,6.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Nayarit,0.0,1.0,2.0,1.0,0.0,0.0,0.0,11,2015,0.0,
Nuevo León,0.0,2.0,1.0,0.0,0.0,0.0,1.0,11,2015,7.0,
Oaxaca,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,2015,0.0,
Puebla,0.0,0.0,0.0,6.0,0.0,0.0,0.0,11,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Sinaloa,35.0,57.0,201.0,4.0,0.0,0.0,1.0,11,2015,1.0,
Sonora,0.0,0.0,3.0,6.0,3.0,7.0,9.0,11,2015,4.0,
Tabasco,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Tamaulipas,0.0,0.0,1.0,3.0,0.0,0.0,0.0,11,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
Yucatán,0.0,5.0,4.0,1.0,0.0,0.0,0.0,11,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2015,0.0,
TOTAL,40.0,87.0,245.0,25.0,4.0,8.0,17.0,11,2015,36.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Baja California,1.0,10.0,14.0,1.0,0.0,0.0,3.0,12,2015,13.0,
Baja California Sur,2.0,0.0,2.0,0.0,0.0,0.0,0.0,12,2015,2.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Coahuila,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12,2015,13.0,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12,2015,0.0,
Guerrero,0.0,1.0,4.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Jalisco,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12,2015,0.0,
México,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Michoacán,1.0,3.0,5.0,2.0,0.0,0.0,0.0,12,2015,0.0,
Morelos,3.0,6.0,8.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Nayarit,1.0,2.0,2.0,2.0,0.0,0.0,0.0,12,2015,0.0,
Nuevo León,0.0,2.0,0.0,0.0,0.0,0.0,1.0,12,2015,9.0,
Oaxaca,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,2015,0.0,
Puebla,1.0,1.0,0.0,6.0,0.0,0.0,0.0,12,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Sinaloa,31.0,64.0,225.0,4.0,1.0,0.0,2.0,12,2015,1.0,
Sonora,1.0,1.0,3.0,9.0,0.0,7.0,9.0,12,2015,4.0,
Tabasco,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Tamaulipas,0.0,0.0,1.0,4.0,0.0,0.0,0.0,12,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
Yucatán,1.0,5.0,5.0,1.0,0.0,0.0,0.0,12,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2015,0.0,
TOTAL,43.0,99.0,275.0,30.0,1.0,8.0,18.0,12,2015,42.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Baja California,0.0,10.0,14.0,1.0,0.0,0.0,3.0,13,2015,13.0,
Baja California Sur,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13,2015,2.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Coahuila,0.0,1.0,0.0,2.0,0.0,1.0,1.0,13,2015,20.0,
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13,2015,0.0,
Guerrero,0.0,1.0,4.0,0.0,0.0,0.0,0.0,13,2015,1.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Jalisco,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13,2015,0.0,
México,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Michoacán,1.0,3.0,6.0,4.0,0.0,0.0,0.0,13,2015,0.0,
Morelos,1.0,6.0,9.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Nayarit,0.0,2.0,2.0,2.0,0.0,0.0,0.0,13,2015,0.0,
Nuevo León,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13,2015,9.0,
Oaxaca,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13,2015,0.0,
Puebla,0.0,1.0,0.0,6.0,0.0,0.0,0.0,13,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Sinaloa,30.0,73.0,246.0,5.0,1.0,0.0,3.0,13,2015,1.0,
Sonora,0.0,1.0,3.0,11.0,0.0,7.0,9.0,13,2015,6.0,
Tabasco,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Tamaulipas,1.0,1.0,1.0,4.0,0.0,0.0,0.0,13,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
Yucatán,0.0,5.0,5.0,1.0,0.0,0.0,0.0,13,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2015,0.0,
TOTAL,33.0,109.0,298.0,37.0,1.0,8.0,19.0,13,2015,52.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Baja California,4.0,12.0,16.0,1.0,0.0,0.0,3.0,14,2015,14.0,
Baja California Sur,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14,2015,2.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Coahuila,0.0,1.0,0.0,2.0,0.0,1.0,1.0,14,2015,24.0,
Colima,0.0,0.0,0.0,0.0,2.0,1.0,1.0,14,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14,2015,0.0,
Guerrero,0.0,1.0,4.0,0.0,0.0,0.0,0.0,14,2015,1.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Jalisco,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14,2015,0.0,
México,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Michoacán,1.0,3.0,7.0,4.0,0.0,0.0,0.0,14,2015,0.0,
Morelos,0.0,6.0,9.0,1.0,0.0,0.0,0.0,14,2015,0.0,
Nayarit,0.0,2.0,2.0,3.0,0.0,0.0,0.0,14,2015,0.0,
Nuevo León,0.0,2.0,0.0,0.0,0.0,0.0,1.0,14,2015,11.0,
Oaxaca,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14,2015,0.0,
Puebla,0.0,0.0,0.0,6.0,0.0,0.0,0.0,14,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Sinaloa,18.0,79.0,259.0,5.0,0.0,0.0,3.0,14,2015,1.0,
Sonora,0.0,1.0,3.0,12.0,0.0,7.0,9.0,14,2015,6.0,
Tabasco,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Tamaulipas,0.0,1.0,1.0,4.0,0.0,0.0,0.0,14,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Veracruz,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
Yucatán,1.0,5.0,6.0,1.0,0.0,0.0,0.0,14,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2015,0.0,
TOTAL,25.0,117.0,315.0,40.0,2.0,9.0,20.0,14,2015,59.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Baja California,1.0,12.0,18.0,8.0,0.0,0.0,3.0,16,2015,20.0,
Baja California Sur,0.0,0.0,3.0,1.0,0.0,0.0,0.0,16,2015,1.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Coahuila,0.0,1.0,0.0,1.0,1.0,1.0,2.0,16,2015,32.0,
Colima,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16,2015,0.0,
Chiapas,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2015,1.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16,2015,0.0,
Guerrero,0.0,1.0,4.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Jalisco,0.0,0.0,3.0,0.0,0.0,0.0,0.0,16,2015,0.0,
México,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Michoacán,1.0,4.0,8.0,1.0,0.0,0.0,0.0,16,2015,0.0,
Morelos,3.0,9.0,12.0,0.0,0.0,0.0,0.0,16,2015,1.0,
Nayarit,1.0,4.0,2.0,1.0,0.0,0.0,0.0,16,2015,0.0,
Nuevo León,2.0,0.0,2.0,0.0,0.0,1.0,2.0,16,2015,13.0,
Oaxaca,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16,2015,0.0,
Puebla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Sinaloa,25.0,91.0,291.0,0.0,0.0,0.0,4.0,16,2015,3.0,
Sonora,1.0,1.0,4.0,11.0,2.0,9.0,10.0,16,2015,8.0,
Tabasco,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Tamaulipas,1.0,1.0,3.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Veracruz,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16,2015,0.0,
Yucatán,0.0,6.0,7.0,1.0,0.0,0.0,0.0,16,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2015,0.0,
TOTAL,36.0,133.0,362.0,25.0,3.0,12.0,24.0,16,2015,79.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Baja California,1.0,13.0,18.0,8.0,1.0,0.0,4.0,17,2015,20.0,
Baja California Sur,1.0,1.0,3.0,1.0,0.0,0.0,0.0,17,2015,1.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Coahuila,0.0,1.0,0.0,2.0,1.0,1.0,3.0,17,2015,34.0,
Colima,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17,2015,0.0,
Chiapas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2015,2.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17,2015,0.0,
Guerrero,0.0,1.0,4.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Jalisco,1.0,0.0,4.0,0.0,0.0,0.0,0.0,17,2015,0.0,
México,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Michoacán,3.0,5.0,10.0,1.0,1.0,0.0,1.0,17,2015,0.0,
Morelos,1.0,9.0,13.0,0.0,0.0,0.0,0.0,17,2015,1.0,
Nayarit,1.0,4.0,3.0,1.0,0.0,0.0,0.0,17,2015,0.0,
Nuevo León,0.0,0.0,2.0,0.0,0.0,1.0,2.0,17,2015,14.0,
Oaxaca,0.0,1.0,0.0,1.0,0.0,0.0,0.0,17,2015,0.0,
Puebla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Sinaloa,41.0,98.0,325.0,0.0,0.0,0.0,4.0,17,2015,4.0,
Sonora,0.0,1.0,4.0,11.0,1.0,9.0,11.0,17,2015,8.0,
Tabasco,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Tamaulipas,0.0,1.0,3.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Veracruz,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17,2015,0.0,
Yucatán,0.0,6.0,7.0,1.0,0.0,0.0,0.0,17,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2015,0.0,
TOTAL,50.0,144.0,401.0,26.0,4.0,12.0,28.0,17,2015,84.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Baja California,1.0,13.0,19.0,8.0,2.0,1.0,5.0,18,2015,20.0,
Baja California Sur,1.0,1.0,4.0,2.0,0.0,0.0,0.0,18,2015,1.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Coahuila,0.0,1.0,0.0,3.0,1.0,1.0,4.0,18,2015,39.0,
Colima,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18,2015,0.0,
Chiapas,0.0,0.0,1.0,1.0,0.0,0.0,0.0,18,2015,0.0,
Chihuahua,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18,2015,2.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2015,0.0,
Guerrero,0.0,2.0,4.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Jalisco,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18,2015,0.0,
México,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Michoacán,0.0,5.0,10.0,1.0,0.0,0.0,0.0,18,2015,0.0,
Morelos,1.0,9.0,14.0,0.0,0.0,0.0,0.0,18,2015,1.0,
Nayarit,2.0,6.0,3.0,1.0,0.0,0.0,0.0,18,2015,0.0,
Nuevo León,1.0,1.0,2.0,0.0,0.0,1.0,2.0,18,2015,16.0,
Oaxaca,0.0,1.0,0.0,1.0,0.0,0.0,0.0,18,2015,0.0,
Puebla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Sinaloa,27.0,107.0,346.0,0.0,0.0,0.0,4.0,18,2015,5.0,
Sonora,0.0,1.0,4.0,13.0,1.0,10.0,11.0,18,2015,8.0,
Tabasco,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Tamaulipas,0.0,1.0,3.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Veracruz,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18,2015,0.0,
Yucatán,1.0,7.0,8.0,1.0,0.0,0.0,0.0,18,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2015,0.0,
TOTAL,34.0,159.0,425.0,31.0,4.0,14.0,29.0,18,2015,92.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Baja California,6.0,15.0,23.0,8.0,0.0,1.0,5.0,19,2015,20.0,
Baja California Sur,0.0,1.0,4.0,3.0,0.0,0.0,0.0,19,2015,1.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Coahuila,0.0,1.0,0.0,3.0,0.0,1.0,4.0,19,2015,40.0,
Colima,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19,2015,0.0,
Chiapas,2.0,2.0,1.0,1.0,0.0,0.0,0.0,19,2015,0.0,
Chihuahua,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,2015,2.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19,2015,0.0,
Guerrero,0.0,2.0,4.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Hidalgo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Jalisco,1.0,1.0,3.0,0.0,0.0,0.0,0.0,19,2015,0.0,
México,1.0,1.0,2.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Michoacán,2.0,7.0,9.0,1.0,0.0,0.0,0.0,19,2015,0.0,
Morelos,1.0,10.0,14.0,0.0,0.0,0.0,0.0,19,2015,1.0,
Nayarit,2.0,6.0,5.0,1.0,0.0,0.0,0.0,19,2015,0.0,
Nuevo León,5.0,4.0,6.0,0.0,0.0,1.0,5.0,19,2015,17.0,
Oaxaca,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19,2015,0.0,
Puebla,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Sinaloa,15.0,110.0,358.0,0.0,0.0,0.0,4.0,19,2015,5.0,
Sonora,0.0,1.0,4.0,13.0,3.0,12.0,12.0,19,2015,9.0,
Tabasco,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Tamaulipas,1.0,1.0,4.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Veracruz,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19,2015,0.0,
Yucatán,0.0,7.0,8.0,1.0,0.0,0.0,0.0,19,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2015,0.0,
TOTAL,36.0,175.0,449.0,32.0,3.0,16.0,33.0,19,2015,95.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Baja California,11.0,18.0,37.0,8.0,1.0,2.0,5.0,20,2015,26.0,
Baja California Sur,2.0,1.0,6.0,3.0,0.0,0.0,0.0,20,2015,1.0,
Campeche,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Coahuila,0.0,1.0,0.0,3.0,0.0,1.0,4.0,20,2015,42.0,
Colima,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20,2015,0.0,
Chiapas,0.0,2.0,1.0,1.0,0.0,0.0,0.0,20,2015,0.0,
Chihuahua,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20,2015,3.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20,2015,0.0,
Guerrero,0.0,2.0,4.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Hidalgo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Jalisco,0.0,1.0,3.0,0.0,0.0,0.0,0.0,20,2015,0.0,
México,0.0,1.0,2.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Michoacán,1.0,7.0,10.0,1.0,0.0,0.0,0.0,20,2015,0.0,
Morelos,1.0,11.0,14.0,0.0,0.0,0.0,0.0,20,2015,2.0,
Nayarit,1.0,7.0,5.0,1.0,0.0,0.0,0.0,20,2015,0.0,
Nuevo León,3.0,5.0,8.0,0.0,0.0,1.0,5.0,20,2015,17.0,
Oaxaca,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20,2015,0.0,
Puebla,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Querétaro,1.0,0.0,1.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Sinaloa,28.0,114.0,382.0,0.0,0.0,0.0,4.0,20,2015,5.0,
Sonora,0.0,1.0,4.0,13.0,0.0,12.0,12.0,20,2015,9.0,
Tabasco,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Tamaulipas,2.0,2.0,5.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Veracruz,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20,2015,0.0,
Yucatán,1.0,8.0,8.0,1.0,0.0,0.0,0.0,20,2015,0.0,
Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2015,0.0,
TOTAL,51.0,187.0,494.0,32.0,1.0,17.0,33.0,20,2015,105.0,
Aguascalientes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21,2015,0.0,
Baja California,10.0,20.0,45.0,8.0,0.0,2.0,5.0,21,2015,27.0,
