estado,1,2,3,sem,m_acum,f_acum,acum,semana,year,8,9
Colima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Chiapas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Chihuahua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Ciudad de México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Durango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Guanajuato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Guerrero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Jalisco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
México,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Michoacán,2.0,0.0,2.0,1.0,0.0,0.0,0.0,02,2015,0.0,
Morelos,1.0,1.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Nayarit,1.0,0.0,1.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Nuevo León,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Oaxaca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Puebla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Sinaloa,13.0,3.0,10.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Sonora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Tamaulipas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Veracruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
Yucatán,1.0,1.0,0.0,0.0,0.0,0.0,0.0,02,2015,0.0,
